Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
22/03/2017,15:30,21/03/2017,09:56,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,10:36,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,10:59,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,11:25,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,12:17,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,12:42,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,13:14,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,13:22,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,14:06,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,15:12,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,15:27,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,16:59,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,17:07,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,17:37,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,22/03/2017,10:44,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,22/03/2017,12:41,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,22/03/2017,12:51,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,22/03/2017,13:00,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,17:12,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,14:36,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,07:19,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,08:33,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,15:54,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,15:58,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,16:44,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,03:46,1,SU 41953 14804,Cat,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,12:04,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,14:56,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,22:08,1,SU 41953 14804,Fox,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,20/03/2017,14:44,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,20/03/2017,14:51,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,20/03/2017,16:21,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,21/03/2017,11:09,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
22/03/2017,15:30,21/03/2017,17:25,1,SU 41953 14804,Squirrel,1,Human Site,Urban,Residential area,,,
