"","Date","Time","Weather","latin","Species","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Any.other.comments","team","loc","month"
"18","10/05/2017","10:30","Sunny","Felis catus","Domestic cat","1","Alive","TG 19073 08582","Human","Suburban","Garden","Ellen",NA,"nbm","east","may"
"19","15-Mar","17:15","Sunny","Felis catus","Domestic cat","1","Alive","TG 19730 08517","Human","Suburban","Near Road","Ellen",NA,"nbm","east","mar"
"20","02-Feb","14:10","Sunny spells","Felis catus","Domestic cat","1","Alive","TG 19744 08552","Human","Suburban","Near Road","Ellie",NA,"nbm","east","feb"
"21","02/08/2017","12:30","Partly cloudy","Felis catus","Domestic cat","1","Alive","SU 98633 49751","Human site","Suburban","Residential, Gardens.","Zoe",NA,"tsu","surr","feb"
"22","06-Feb","10:30","Sunny","Felis catus","Domestic cat","1","Alive","TG 19073 08582","Human","Suburban","Garden","Ellen",NA,"nbm","east","feb"
"23","16/05/2017","21:20","Cloudy","Felis catus","Domestic cat","1","Alive","SU 97976 49834","Human site","Suburban","Near road, residential, gardens","Emily",NA,"tsu","surr","may"
"24","04/07/2017","17:30","Sunny","Felis catus","Domestic cat","1","Alive","SU 98809 49898","Human site","Suburban","Residential, near road, gardens","Zoe",NA,"tsu","surr","apr"
"25","16-Feb","08:50","Sunny","Felis catus","Domestic cat","1","Alive","TG 19176 08467","Human","Suburban","Garden","Ellen",NA,"nbm","east","feb"
"26","24/02/2017","10:17","Cloudy","Felis catus","Domestic cat","1","Alive","NY409555","Human site","Urban","Near road","Ruth","Black","tmo","cumb","feb"
"27","27/04/2017",NA,"Sunny","Felis catus","Domestic cat","1","Alive ","SS 62820 91607","Woodland","Broadleaved","Near Road, Park land, Semi natural","Samantha Purton",NA,"suc","swan","apr"
"28","17/02/2017","12:46","Sunny","Felis catus","Domestic cat","1","Alive","SU428148","Human site","Urban","Residential",NA,NA,"smw","sout","feb"
"29","25-Mar-17","09:06","Sunny","Felis catus","Domestic cat","1","Alive","SU 7404 7213","Human Site","Suburban","Near road (50m)","Sophie",NA,"pft","read","mar"
"30","24/05/2017","08:10","Warm, clear","Felis catus","Domestic cat","1","Alive","TG 19073 08582","Human","Suburban","Garden","Ellen",NA,"nbm","east","may"
"31","02/02/2017","16:10","Cloudy ","Felis catus","Domestic cat","1","Alive","SU 98632 49751","Human site","Suburban","Residential, Gardens.","Zoe",NA,"tsu","surr","feb"
"32","24/02/2017","14:37","Cloudy","Felis catus","Domestic cat","1","Alive","NY409555","Human site","Urban","Near road","Sophie","White","tmo","cumb","mar"
"33","09/06/2017","13:10","Sunny with clouds","Felis catus","Domestic cat","1","Alive","TG 19072 08580","Human site","Suburban","Gardens","Ellen",NA,"nbm","east","jun"
"34","01/05/2017","10:10","Sunny","Felis catus","Domestic cat","1","Alive","TG 19073 08582","Human","Suburban","Garden","Ellen",NA,"nbm","east","may"
"35","16/05/2017","20:25","Cloudy","Felis catus","Domestic cat","1","Alive","SU 98759 49822","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"36","22/05/2017","22:00","Clear","Felis catus","Domestic cat","1","Alive","SU 98814 49903","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"37","01/06/2017","09:10","Sunny","Felis catus","Domestic cat","1","Alive","TG 19258 08337","Human site","Suburban","Municipal park/recreation area","Ellen",NA,"nbm","east","jun"
"38","22-Apr","13:00","Sunny","Felis catus","Domestic cat","1","Alive","TG 19176 08465","Human site","Suburban","Residential, gardens, recreational area","Ellen",NA,"nbm","east","apr"
"39","20-Feb","16:30","Overcast","Felis catus","Domestic cat","2","Alive","TG 19580 08402","Human","Suburban","Near Road","Steven",NA,"nbm","east","feb"
"40","17-Mar","17:00","Cloudy","Felis catus","Domestic cat","1","Alive","TG 19192 08589","Human","Suburban","Near Road","Ellen",NA,"nbm","east","mar"
"41","18/05/2017","10:45","Sunny","Felis catus","Domestic cat","1","Alive","SU 98728 49896","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"42","24 January 2017","10:26","Sunny","Felis catus","Domestic cat","1","Alive","SU 7422 7177","Human site","Suburban","Disused, Near road (50m)","Team",NA,"pft","read","jan"
"43","11/06/2017","14:05","Warm, few clouds","Felis catus","Domestic cat","1","Alive","TG 19072 08580","Human site","Suburban","Gardens","Ellen",NA,"nbm","east","jun"
"44","02/06/2017","08:20","Clear and sunny","Felis catus","Domestic cat","1","Alive","TG 19912 07797","Human site","Suburban","Near road","Ellen",NA,"nbm","east","jun"
"45","06/02/2017","10:47","Cloudy","Felis catus","Domestic cat","1","Alive","NY409555","Human site","Urban","Near road","Ruth","Black","tmo","cumb","mar"
"46","28/4/17","09:30","Cloudy","Felis catus","Domestic cat","1","Alive","SU 98631 49759","Human site","Suburban","Residential, near road, gardens","Zoe",NA,"tsu","surr","apr"
"47","15/06/2017","15:00","Sunny","Felis catus","Domestic cat","1","Alive","TG 19072 08580","Human site","Suburban","Gardens","Ellen",NA,"nbm","east","jun"
"48","05/03/2017","08:30","Cloudy","Felis catus","Domestic cat","1","Alive","SU 98722 49748","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"49","24-Mar","13:10","Sunny","Felis catus","Domestic cat","1","Alive","TG 19072 08581","Human","Suburban","Garden","Ellen",NA,"nbm","east","mar"
"50","02/09/2017","13:15","Partly cloudy","Felis catus","Domestic cat","1","Alive","SU 98813 49923","Human site","Suburban","Residential, Gardens.","Zoe",NA,"tsu","surr","feb"
"51","15/02/2017","13:00","Raining","Felis catus","Domestic cat","1","Alive","SU 98761 49867","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","feb"
"52","01/06/2017","21:30","Warm, few clouds","Felis catus","Domestic cat","1","Alive","TG 19088 08592","Human site","Suburban","Gardens","Ellen",NA,"nbm","east","jun"
"53","16/02/2017","10:04","Sunny","Felis catus","Domestic cat","1","Alive","SU422146","Human site","Urban","Residential",NA,NA,"smw","sout","feb"
"54","16/02/2017","10:06","Sunny","Felis catus","Domestic cat","1","Alive","SU422146","Human site","Urban","Residential",NA,NA,"smw","sout","feb"
"55","21-Feb","13:10","Sunny","Felis catus","Domestic cat","1","Alive","TG 19176 08467","Human","Suburban","Garden","Ellen",NA,"nbm","east","feb"
"56","20/02/2017",NA,"Mild","Felis catus","Domestic cat","1","Alive ","SS 62802 91578","Waterbodies","Pond","Near road (50m), Low banks, Flat","Kate Weston",NA,"suc","swan","feb"
"57","12/06/2017","14:05","Warm, few clouds","Felis catus","Domestic cat","1","Alive","TG 19072 08580","Human site","Suburban","Gardens","Ellen",NA,"nbm","east","jun"
"58","14/06/2017","13:15","Cloudy and warm","Felis catus","Domestic cat","1","Alive","TG 19072 08580","Human site","Suburban","Gardens","Ellen",NA,"nbm","east","jun"
"59","09/02/2017",NA,"Mild","Felis catus","Domestic cat","1","Alive","SS 62877 92096","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","feb"
"60","24/02/2017","11:00","Cloudy ","Felis catus","Domestic cat","1","Alive","SU 98760 49852","Human site","Suburban","Residential, gardens, near road","Zoe",NA,"tsu","surr","feb"
"61","16/05/2017","20:30","Cloudy","Felis catus","Domestic cat","1","Alive","SU 98710 49757","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"62","09-Mar","11:10","Sunny","Felis catus","Domestic cat","1","Alive","TG 19176 08467","Human","Suburban","Garden","Ellen",NA,"nbm","east","mar"
"63","30/05/2017","08:00","Cloudy, warm","Felis catus","Domestic cat","1","Alive","TG 19073 08582","Human","Suburban","Garden","Ellen",NA,"nbm","east","may"
"64","30/03/2017","09:45","Sunny","Felis catus","Domestic cat","1","Alive","SU 98747 49896","Human Site","suburban","Residential, gardens, near road","Zoe",NA,"tsu","surr","mar"
"65","31/05/2017","09:50","Sunny","Felis catus","Domestic cat","1","Alive","TG 19068 08578","Human","Suburban","Garden","Ellen",NA,"nbm","east","may"
"66","30/01/2017","15:23","Cloudy","Felis catus","Domestic cat","1","Alive ","NY409555","Human site","Suburban","Gardens","Sophie","Black ","tmo","cumb","jan"
"67","24/4/17","09:00","Sunny","Felis catus","Domestic cat","1","Alive","SU 98754 49837","Human site","Suburban","Residential, near road, gardens","Zoe",NA,"tsu","surr","apr"
"68","05/04/2017","14:00","Cloudy","Felis catus","Domestic cat","1","Alive","SU 98643 49743","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"69","28/05/2017","17:20","Sunny","Felis catus","Domestic cat","1","Alive","TG 19073 08582","Human","Suburban","Garden","Ellen",NA,"nbm","east","may"
"70","27/4/17","09:00","Sunny","Felis catus","Domestic cat","1","Alive","SU 98629 49770","Human site","Suburban","Residential, near road, gardens","Zoe",NA,"tsu","surr","apr"
"71","27/4/17","09:05","Sunny","Felis catus","Domestic cat","1","Alive","SU 98717 49753","Human site","Suburban","Residential, near road, gardens","Zoe",NA,"tsu","surr","apr"
"72","06/01/2017","12:50","Sunny","Felis catus","Domestic cat","1","Alive","SU 97972 49830","Human Site","Suburban","Residential, gardens, near road","Emily",NA,"tsu","surr","jun"
"73","01/03/2017","10:07","Overcast","Felis catus","Domestic cat","1","Alive","Campus","Human site","Urban","Residential",NA,NA,"smw","sout","mar"
"74","06/05/2017","03:00","Rain","Felis catus","Domestic cat","1","Alive","TG 19107 08577","Human site","Urban","Near road (50 m)","Ellen",NA,"nbm","east","may"
"75","16/05/2017","20:25","Cloudy","Felis catus","Domestic cat","1","Alive","SU 98751 49892","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"76","15-Mar-17","18:45","Dusk","Felis catus","Domestic cat","1","Alive","SU 7404 7213","Human Site","Suburban","Near road (50m)","Sophie",NA,"pft","read","mar"
"77","29-Apr","16:10","Cloudy","Felis catus","Domestic cat","1","Alive","TG 19176 08467","Human","Suburban","Garden","Ellen",NA,"nbm","east","apr"
"78","03/06/2017","16:00","Cloudy","Felis catus","Domestic cat","1","Alive","SU 98769 49858","Human Site","suburban","Residential, near road, gardens","Zoe",NA,"tsu","surr","mar"
"79","03/07/2017","08:50","Partly cloudy","Felis catus","Domestic cat","1","Alive","SU 97974 49836","Human Site","suburban","Residential, near road, gardens","Emily",NA,"tsu","surr","mar"
"80","05/06/2017","11:00","Cloudy","Felis catus","Domestic cat","1","Alive","SU 97975 49841","Human site","Suburban","Near road, residential, gardens","Emily",NA,"tsu","surr","may"
"81","05/05/2017","15:45","Cloudy","Felis catus","Domestic cat","1","Alive","SU 97968 49837","Human site","Suburban","Near road, residential, gardens","Emily",NA,"tsu","surr","may"
"82","27/05/2017","11:05","Sunny","Felis catus","Domestic cat","1","Alive","TG 19073 08582","Human","Suburban","Garden","Ellen",NA,"nbm","east","may"
"83","14-Feb","09:45","Sunny","Felis catus","Domestic cat","1","Alive","TG 19073 08582","Human","Suburban","Garden","Ellen",NA,"nbm","east","feb"
"84","15-Mar","11:30","Sunny","Felis catus","Domestic cat","1","Alive","TG 19176 08467","Human","Suburban","Garden","Ellen",NA,"nbm","east","mar"
"85","06/02/2017","14:09","Cloudy","Felis catus","Domestic cat","1","Alive","NY409555","Human site","Urban","Near road","Ruth","Black","tmo","cumb","feb"
"86","05/03/2017","16:03","Cold","Felis catus","Domestic cat","1","Alive","NY410554","Woodland ","Mixed","Semi-natural","Hannah","Ginger and white","tmo","cumb","mar"
"87","13-Feb","10:50","Sunny","Felis catus","Domestic cat","1","Alive","TG 19073 08582","Human","Suburban","Garden","Ellen",NA,"nbm","east","feb"
"88","30/05/2017","18:00","Sunny","Felis catus","Domestic cat","1","Alive","SU 97985 49834","Human site","Suburban","Residential, gardens, near road","Emily",NA,"tsu","surr","may"
"89","01/02/2017","16:03","Cold","Felis catus","Domestic cat","1","Alive","NY410554","Woodland ","Mixed","Semi-natural","Hannah","Ginger and white","tmo","cumb","feb"
"90","25/05/2017","08:30","Sunny","Felis catus","Domestic cat","1","Alive","TG 19073 08582","Human","Suburban","Garden","Ellen",NA,"nbm","east","may"
"91","29/06/2017","23:05","Cloudy","Felis catus","Domestic cat","1","Alive","TG 19092 08590","Human site","Suburban","Gardens","Ellen",NA,"nbm","east","jun"
"92","22/05/2017","17:30","Sunny","Felis catus","Domestic cat","1","Alive","SU 98698 49777","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"93","05/09/2017","15:00","Sunny","Felis catus","Domestic cat","1","Alive","SU 98633 49759","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"94","06/02/2017","11:21","Overcast","Felis catus","Domestic cat","1","Alive","SU422146","Human site","Urban","Residential",NA,NA,"smw","sout","feb"
"95","06/01/2017","12:30","Sunny","Felis catus","Domestic cat","1","Alive","SU 98634 49798","Human Site","Suburban","Residential, gardens, near road","Zoe",NA,"tsu","surr","jun"
"96","05-Feb","21:30","Overcast","Felis catus","Domestic cat","1","Alive","TG 20111 07480","Human","Suburban","Near Road","Steven",NA,"nbm","east","feb"
"97","15/03/2017","14:50","Raining","Felis catus","Domestic cat","1","Alive ","SS 62884 91635","Waterbodies","Pond","Near road (50m), Low banks, Flat","Kathryn Weston",NA,"suc","swan","mar"
"98","31/01/2017","14:00","Rain","Felis catus","Domestic cat","1","Alive ","NY409555","Human site","Suburban","Road","Ruth ","Grey  tabby with white abdomen ","tmo","cumb","jan"
"99","17-Mar","16:50","Cloudy","Felis catus","Domestic cat","1","Alive","TG 19097 08560","Human","Suburban","Near Road","Ellen",NA,"nbm","east","mar"
"100","14-Feb","15:30","Cloudy","Felis catus","Domestic cat","1","Alive","TG 19101 08609","Human","Suburban","Near Road","Ellen",NA,"nbm","east","feb"
"101","05/05/2017","12:00","Cloudy","Felis catus","Domestic cat","1","Alive","SU 98091 49899","Human site","Suburban","Near road, residential, gardens","Emily",NA,"tsu","surr","may"
"102","29/05/2017","10:15","Cloudy","Felis catus","Domestic cat","1","Alive","TG 19088 08592","Human","Suburban","Garden","Ellen",NA,"nbm","east","may"
"103","05/11/2017","19:00","Raining lightly","Felis catus","Domestic cat","1","Alive","SU 97981 49834","Human site","Suburban","Near road, residential, gardens","Emily",NA,"tsu","surr","may"
"104","02-Mar","19:50","Clear","Felis catus","Domestic cat","1","Alive","TG 19198 08493","Human","Suburban","Near Road","Ellen",NA,"nbm","east","mar"
"105","05/11/2017","09:40","Cloudy","Felis catus","Domestic cat","1","Alive","SU 97981 49834","Human site","Suburban","Near road, residential, gardens","Emily",NA,"tsu","surr","may"
"106","03/02/2017","11:45","Sunny","Felis catus","Domestic cat","1","Alive","NY409555","Human site","Ubran","On pavement by road","Hannah ","Ginger ","tmo","cumb","feb"
"107","05/10/2017","18:07","Sunny","Felis catus","Domestic cat","1","Alive","SU 98811 49897","Human site","Suburban","Near road, residential, gardens","Zoe",NA,"tsu","surr","may"
"108","28/02/2017","17:38","cold, damp","Felis catus","Domestic cat","1","Alive","TR 14078 60086","Human site","Suburban","near road, residential","DT","A daily visitor! ","gua","kent","feb"
"109","19-Mar","21:30","Cloudy","Felis catus","Domestic cat","1","Alive","TG 19104 08582","Human","Suburban","Near Road","Ellen",NA,"nbm","east","mar"
"110","19-Mar","20:00","Cloudy","Felis catus","Domestic cat","1","Alive","TG 19133 08539","Human","Suburban","Near Road","Ellen",NA,"nbm","east","mar"
"111","01/02/2017","13:44","Sun/cloud","Felis catus","Domestic cat","1","Alive","SO 78757 23022","Human site","Rural","Residential/Recreational","Becky","Hunting in the hedgerow (prey not visible)","hhe","hart","feb"
"112","26-Apr","16:38","Cloudy","Felis catus","Domestic cat","2","Alive","NJ 93926 08252","Human site","Urban","Residential","Kevin",NA,"fff","aber","apr"
"113","06-Apr","14:30","Sunny, warm","Felis catus","Domestic cat","1","Alive","NJ 94033 07721","Human site","Urban","Residential","Kevin",NA,"fff","aber","apr"
"114","23-Apr","15:00","Cloudy","Felis catus","Domestic cat","1","Alive","NJ 94009 08266","Human site","Urban","Residential","Kevin",NA,"fff","aber","apr"
"115","04-Apr","21:50","Mild, cloudy","Felis catus","Domestic cat","1","Alive","NJ 93935 08035","Human site","Urban","Residential","Kevin",NA,"fff","aber","apr"
"116","05-Feb","11:20","Sunny, slight overcast","Felis catus","Domestic cat","1","Alive","NJ 94076 08210","Human site","Urban","Residential","Carla",NA,"fff","aber","feb"
"117","22-Apr","16:15","Sunny, warm","Felis catus","Domestic cat","1","Alive","NJ 94009 08266","Human site","Urban","Residential","Kevin",NA,"fff","aber","apr"
"118","24-Mar","16:00","Grey, warm","Felis catus","Domestic cat","1","Alive","NJ 93980 08363","Urban","Human area","Residential","Carla",NA,"fff","aber","mar"
"119","27-Mar","17:20","Warm, sunny","Felis catus","Domestic cat","1","Alive","NJ 93894 08323","Urban","Human area","Residential","Kevin",NA,"fff","aber","mar"
"120","31-Mar","17:30","Warm, dry","Felis catus","Domestic cat","1","Alive","NJ 93917 08347","Urban","Human area","Residential","Kevin",NA,"fff","aber","mar"
"121","28-Apr","17:00","Sunny, warm","Felis catus","Domestic cat","2","Alive","NJ 93926 08252","Human site","Urban","Residential","Rebecca",NA,"fff","aber","apr"
"122","23-Apr","19:55","Sunny, warm","Felis catus","Domestic cat","1","Alive","NJ 93926 08252","Human site","Urban","Residential","Kevin",NA,"fff","aber","apr"
"123","15/05/2017","17:00","Dry, overcast","Bos taurus","Cow","30","Alive","SK 6979 5207","Open land","Farmland","Grazed, pasture, high/medium disturbance, other field boundary","HL",NA,"brb","nott","may"
"124","09/05/2017","22:20","Overcast, cool","Pipistrellus sp.","Pipistrelle bat (sp)","5","Alive","SK 69617 52278","Human site","Rural","Gardens, Near water (pond, 50m)","Group members",NA,"mdb","nott","may"
"125","09/05/2017","21:15","Overcast, cool","Pipistrellus sp.","Pipistrelle bat (sp)","1","Alive","SK 69470 52266","Human site","Rural","Disused, Residential","Group members","Emergence survey","mdb","nott","may"
"126","09/05/2017","21:15","Overcast, cool","Pipistrellus sp.","Pipistrelle bat (sp)","1","Alive","SK 69475 52293","Human site","Rural","Disused, Residential","Group members","Emergence survey","mdb","nott","may"
"127","09/05/2017","21:17","Overcast, cool","Pipistrellus sp.","Pipistrelle bat (sp)","1","Alive","SK 69494 52282","Human site","Rural","Disused, Residential","Group members","Emergence survey","mdb","nott","may"
"128","08/02/2017","10:05am","Clear skies, dry","Cervidae sp.","Deer (sp)","1","Alive","51.919694, -2.310069","Open Land","Meadow","Grazed, hedgerow with trees, low disturbance","Alice + James","PHOTO PROVIDED","wwa","hart","feb"
"129","21-Feb-17","20:25","Night","Felis catus","Domestic cat","1","Alive","SU 7394 7227","Human Site ","Suburban","Residential, Near road (50m)","Sophie ",NA,"pft","read","feb"
"130","17/02/2017","17:00","Raining ","Felis catus","Domestic cat","1","Alive ","TQ 32552 06745","Human site","Suburban","Municipal park, Gardens,Near road (10m)","Nathan Burns","walking across the garden","bri","brig","feb"
"131","10/03/2017","16:30","Cold, slight sun","Felis catus","Domestic cat","1","Alive","SU 86798 57468","Human Site","Urban/suburban","Residential, near road","Lucy Morley, Tim Adlam, Chris Goble","Small white, grey and cream","tns","farn","mar"
"132","28/06/2017","22:10","Dark, chilly, drizzling","Felis catus","Domestic cat","1","Alive","SU 86462 57205","Human site","Suburban","Residential","Lucy Morley",NA,"tns","farn","jun"
"133","30/03/2017","16:30","Warm, sun","Felis catus","Domestic cat","1","Alive","SU 86761 57466","Human Site","Urban/suburban","Residential, near road","Lucy Morley","Seen before - small white, grey and cream","tns","farn","mar"
"134","07/04/2017","12:50","Mild, sun","Felis catus","Domestic cat","1","Alive","SU 87093 57000","Woodland; human site","Mixed; urban","Moderate shrub layer, moderate field layer; residential","Lucy Morley","seen before - large white","tns","farn","apr"
"135","29/03/2017","12:30","Warm, sun","Felis catus","Domestic cat","1","Alive","SU 87099 57037","Woodland; human site","Mixed; urban","Moderate shrub layer, moderate field layer; residential","Lucy Morley","Seen before - large white","tns","farn","mar"
"136","15/02/2017","13:20","Mild, cloudy","Felis catus","Domestic cat","1","Alive","SU 86536 56970","Human Site","Suburban","Residential, near road","Lucy Morley","Black and white","tns","farn","feb"
"137","24/06/2017","21:50","Dark, chilly, clear","Felis catus","Domestic cat","2","Alive","SU 87067 57556","Human site","Suburban","Residential, recreational area (with meadow)","Lucy Morley",NA,"tns","farn","jun"
"138","28/04/2017","20:50","Dark, chilly, dry","Felis catus","Domestic cat","1","Alive","SU 86373 57320","Human Site","Suburban","Residential, near road","Lucy Morley","Black and tan","tns","farn","apr"
"139","17/02/2017","14:45","Mild, slight sun","Felis catus","Domestic cat","1","Alive","SU 86715 56950","Human Site","Urban/suburban","Residential, near road","Daniel Morris","Black and white","tns","farn","feb"
"140","21/03/2017","12:20","Warm, sun","Felis catus","Domestic cat","1","Alive","SU 87028 57109","Human Site","Suburban","Residential, near road, sports field","Lucy Morley","Black","tns","farn","mar"
"141","13/02/2017","13:15","Dry, sunny","Equus asinus","Donkey","3","Alive","SK 699 519 ","Open land","Farmland","Grazed, other field boundary, high/medium disturbance, pasture","HL",NA,"brb","nott","feb"
"142","24/02/2017","9am. 11pm.","Cloudy","Oryctolagus cuniculus","Rabbit","4","Alive","51°17'47.5""N 1°03'37.3""E","Woodland/Grassland",NA,NA,"BR",NA,"gua","kent","feb"
"143","30/01/2017","13:00","Cloudy","Apodemus sylvaticus","Wood mouse","1","Alive ","NY408554","Human site","Suburban","Municipal park, Gardens, Near road ","Ruth ","Species was not confirmed","tmo","cumb","jan"
"144","04/06/2017","12:03","sunny","Microtus agrestis","Field vole","1","Alive","57.173387, -2.096185","Woodland","Mixed","Moderate shrub layer","Rebecca",NA,"att","aber","apr"
"145","15/05/2017","09:20",NA,"Microtus agrestis","Field vole","3","Alive","TR 12984 59673","Human site","Suburban","moderate field layer","DT","Under 3 separate reptile felts ","gua","kent","may"
"146","09/03/2017","14:03",NA,"Microtus agrestis","Field vole","1","Alive","TR 12984 59673","Human site","Suburban","moderate field layer","DT",NA,"gua","kent","mar"
"147","17/04/2017","13:20",NA,"Microtus agrestis","Field vole","1","Alive","TR 12984 59673","Human site","Suburban","moderate field layer","DT","Under reptile felt","gua","kent","apr"
"148","17/04/2017","13:21",NA,"Microtus agrestis","Field vole","1","Dead","TR 12984 59673","Human site","Suburban","moderate field layer","DT","Found dead in nest under (a different) reptile felt - no sign of injury","gua","kent","apr"
"149","03/02/2017","17:04","Raining","Microtus agrestis","Field vole","1","Alive","TR 13231 59344","Human Site","Suburban","Near road (50m)","Kieran Richardson","ran across the road","kpl","kent","feb"
"150","12/03/2017","23:33","mild, slightly windy","Vulpes vulpes","Red fox","1","Alive","57.176211, -2.100258","human site","suburban","near road","Cristin",NA,"att","aber","mar"
"151","30/04/2017","21:02",NA,"Vulpes vulpes","Red fox","1","Alive","TR 14031 60129","Human site","Suburban","near road (50m)","DT","heard barking and yelling","gua","kent","apr"
"152","28/06/2017","21:50","Dark, chilly, drizzling","Vulpes vulpes","Red fox","1","Alive","SU 86139 57660","Human site","Suburban","Recreational area (with field), residential","Lucy Morley","Most likely same individual as above","tns","farn","jun"
"153","15/03/2017","23:27","Cloudy","Vulpes vulpes","Red fox","1","Alive","ST 5794 7344","Human Site","Urban","Gardens, residential, near road","Ellie Livingstone",NA,"bba","bris","mar"
"154","24/06/2017","22:00","Dark, chilly, clear","Vulpes vulpes","Red fox","1","Alive","SU 86139 57660","Human site","Suburban","Recreational area (with field), residential","Lucy Morley",NA,"tns","farn","jun"
"155","01/03/2017","09:17","Overcast","Vulpes vulpes","Red fox","1","Alive","CT3","Woodland","Mixed","Sparse shrub layer",NA,NA,"smw","sout","mar"
"156","12/04/2017","20:42",NA,"Vulpes vulpes","Red fox",NA,"Alive","TR 14031 60129","Human site","Suburban","near road (50m)","DT","heard calling","gua","kent","apr"
"157","05/11/2017","05:00","Clear","Vulpes vulpes","Red fox","2","Alive","SU 98717 49899","Human site","Suburban","Recreational, low disturbance","Zoe",NA,"tsu","surr","may"
"158","21/02/2017","19:00","Cloudy ","Vulpes vulpes","Red fox","1","Alive","SU 98615 49770","Human site","Suburban","Residential, gardens, near road","Zoe",NA,"tsu","surr","feb"
"159","28/02/2017","04:00","night time","Vulpes vulpes","Red fox","1","Alive","TR 14031 60129","Human site","Suburban","near road (50m)","DT","heard barking ","gua","kent","feb"
