"","Date","Time","latin","Species","Weather","Transect","Count","Distance","Observer","Any.other.comments","team","loc","month"
"193","28-Feb","17:10","Oryctolagus cuniculus","Rabbit","Clear, sunny","5",1,"10","Shawnee",NA,"nbm","east","feb"
"194","22/01/2017","1:11pm","Oryctolagus cuniculus","Rabbit","Sunny","T3",1,"15",NA,NA,"tma","hart","jan"
"195","16/03/2017","17:50","Oryctolagus cuniculus","Rabbit","Cloudy","1",10,"10","Ellie",NA,"nbm","east","mar"
"196","16/03/2017","17:35","Oryctolagus cuniculus","Rabbit","Cloudy","3",1,"50","Ellie",NA,"nbm","east","mar"
"197","11/01/2017","16:39","Rattus norvegicus","Brown rat","Dry","2",1,"90",NA,NA,"smw","sout","jan"
"198","04/06/2017","12pm","Rattus norvegicus","Brown rat","Sunny","10",1,"3m","Ollie",NA,"rum","rum.","jun"
"199","22/01/2017","16:41","Rattus norvegicus","Brown rat","Dry","1",1,"50",NA,NA,"smw","sout","jan"
"200","14/01/2017","09:37:00","Rattus norvegicus","Brown rat","Dry","3",1,"50",NA,NA,"smw","sout","jan"
"201","26/01/2017","17:06","Rattus norvegicus","Brown rat","Overcast","3",3,"100",NA,NA,"smw","sout","jan"
"202","17/01/2017","16:24","Rattus norvegicus","Brown rat","Dry","3",1,"0",NA,NA,"smw","sout","jan"
"203","21/01/2017","16:26","Rattus norvegicus","Brown rat","Overcast","1",1,"70",NA,NA,"smw","sout","jan"
"204","22/01/2017","17:20","Rattus norvegicus","Brown rat","Dry","2",2,"55",NA,NA,"smw","sout","jan"
"205","05/02/2017","19:44","Rattus norvegicus","Brown rat","Overcast","1",1,"55","OM,FM",NA,"smw","sout","feb"
"206","17/01/2017","16:41","Rattus norvegicus","Brown rat","Dry","2",1,"60",NA,NA,"smw","sout","jan"
"207","28/02/2017","18:34","Rattus norvegicus","Brown rat","Overcast","2",4,"110","OM,CB,JM,FM",NA,"smw","sout","feb"
"208","17/01/2017","16:50","Rattus norvegicus","Brown rat","Dry","1",1,"60",NA,NA,"smw","sout","jan"
"209","03/04/2017","18:19","Rattus norvegicus","Brown rat","Overcast","3",1,"60","OM,CB,JM",NA,"smw","sout","mar"
"210","08/02/2017","09:02","Rattus norvegicus","Brown rat","Sunny","1",1,"55","OM,JM",NA,"smw","sout","feb"
"211","01/02/2017","16:38","Rattus norvegicus","Brown rat","Overcast","3",1,"125","OM,FM,CB",NA,"smw","sout","feb"
"212","25/01/2017","09:15","Rattus norvegicus","Brown rat","Overcast/Foggy","3",4,"125",NA,NA,"smw","sout","jan"
"213","23/01/2017","09:21","Rattus norvegicus","Brown rat","Foggy","1",1,"50",NA,NA,"smw","sout","jan"
"214","21/01/2017","16:36","Rattus norvegicus","Brown rat","Overcast","2",1,"60",NA,NA,"smw","sout","jan"
"215","10/01/2017","16:25","Rattus norvegicus","Brown rat","Dry","1",1,"30",NA,NA,"smw","sout","jan"
"216","28/02/2017","18:34","Rattus norvegicus","Brown rat","Overcast","2",1,"120","OM,CB,JM,FM",NA,"smw","sout","feb"
"217","22/01/2017","17:17","Rattus norvegicus","Brown rat","Dry","2",6,"50",NA,NA,"smw","sout","jan"
"218","03/12/2017","17:36","Rattus norvegicus","Brown rat","Overcast","2",1,"125","OM,CB",NA,"smw","sout","mar"
"219","25/01/2017","08:53","Rattus norvegicus","Brown rat","Overcast/Foggy","1",4,"50",NA,NA,"smw","sout","jan"
"220","25/01/2017","09:12","Rattus norvegicus","Brown rat","Overcast/Foggy","3",1,"60",NA,NA,"smw","sout","jan"
"221","28/02/2017","18:31","Rattus norvegicus","Brown rat","Overcast","2",3,"100","OM,CB,JM,FM",NA,"smw","sout","feb"
"222","23/01/2017","09:21","Rattus norvegicus","Brown rat","Foggy","1",1,"55",NA,NA,"smw","sout","jan"
"223","23/01/2017","09:06","Rattus norvegicus","Brown rat","Foggy","3",3,"0",NA,NA,"smw","sout","jan"
"224","14/01/2017","09:47","Rattus norvegicus","Brown rat","Dry","2",1,"70",NA,NA,"smw","sout","jan"
"225","21/01/2017","16:41","Rattus norvegicus","Brown rat","Overcast","3",1,"100",NA,NA,"smw","sout","jan"
"226","03/01/2017","08:41","Rattus norvegicus","Brown rat","Overcast","1",1,"50","OM,CB,JM,FM",NA,"smw","sout","mar"
"227","03/04/2017","18:30","Rattus norvegicus","Brown rat","Overcast","2",1,"55","OM,CB,JM",NA,"smw","sout","mar"
"228","28/02/2017","18:37","Rattus norvegicus","Brown rat","Overcast","2",1,"125","OM,CB,JM,FM",NA,"smw","sout","feb"
"229","28/02/2017","18:30","Rattus norvegicus","Brown rat","Overcast","2",1,"80","OM,CB,JM,FM",NA,"smw","sout","feb"
"230","11/01/2017","16:40","Rattus norvegicus","Brown rat","Dry","2",1,"30",NA,NA,"smw","sout","jan"
"231","22/01/2017","17:06","Rattus norvegicus","Brown rat","Dry","3",2,"35",NA,NA,"smw","sout","jan"
"232","01/02/2017","17:07","Rattus norvegicus","Brown rat","Overcast","1",1,"55","OM,FM,CB",NA,"smw","sout","feb"
"233","03/04/2017","18:19","Rattus norvegicus","Brown rat","Overcast","3",1,"70","OM,CB,JM",NA,"smw","sout","mar"
"234","25.01.17","2.08pm ","Vulpes vulpes","Red fox","6 degrees celsius. Slight cloud coverage.","1",1,"30",NA,NA,"hot","hadl","jan"
"235","26/01/2017","9.40am","Sciurus vulgaris","Red squirrel","Clear, dry, windy","5",1,"15",NA,NA,"att","aber","jan"
"236","13/03/2017","07:35","Capreolus capreolus","Roe deer","Cloudy","3",10,"3","Rebecca",NA,"att","aber","mar"
"237","13/03/2017","07:50","Capreolus capreolus","Roe deer","Cloudy","4",2,"6","Rebecca",NA,"att","aber","mar"
"238","26/01/2017","9.08am","Capreolus capreolus","Roe deer","Clear, dry, windy","4",2,"10",NA,NA,"att","aber","jan"
"239","20/02/2017","11:45","Ovis aries","Sheep","Drizzle ","T3",20,"20","Everyone ","(Sorry not sure if livestock count) ","tbt","lanc","feb"
"240","31/01/2017","16:49","Sciurus sp.","Squirrel (sp)","light drizzle","LT5",1,"15",NA,NA,"bba","bris","jan"
"241","14/01/2017","09:47","Sciurus sp.","Squirrel (sp)","Dry","2",1,"50",NA,NA,"smw","sout","jan"
"242","09/03/2017","13:00","Sciurus sp.","Squirrel (sp)","Overcast","6",2,"20","Arron",NA,"rum","read","mar"
"243","05/02/2017","19:38","Sciurus sp.","Squirrel (sp)","Overcast","2",1,"120","OM,FM",NA,"smw","sout","feb"
"244","14/01/2017","09:47","Sciurus sp.","Squirrel (sp)","Dry","2",1,"50",NA,NA,"smw","sout","jan"
"245","27/03/2017","14:00","Sciurus sp.","Squirrel (sp)","Sunny","7",3,"20","Charlotte",NA,"rum","read","mar"
"246","01/03/2017","12:00","Sciurus sp.","Squirrel (sp)","cloudy ","3",1,"25","Arron",NA,"rum","read","mar"
"247","09/04/2017","2pm","Sciurus sp.","Squirrel (sp)","Sunny",NA,9,"3m","Ollie  ",NA,"rum","rum.","may"
"248","10/01/2017","11:20:00am","Sciurus sp.","Squirrel (sp)","Sunny","T1",1,"15",NA,NA,"tma","hart","jan"
"249","08/02/2017","08:52","Sciurus sp.","Squirrel (sp)","Sunny","2",1,"125","OM,JM",NA,"smw","sout","feb"
"250","01/02/2017","16:57","Sciurus sp.","Squirrel (sp)","Overcast","2",1,"95","OM,FM,CB",NA,"smw","sout","feb"
"251","14/02/2017","16:09","Sciurus sp.","Squirrel (sp)","Overcast","2",1,"100","FM,GH",NA,"smw","sout","feb"
"252","03/12/2017","17:35","Sciurus sp.","Squirrel (sp)","Overcast","2",1,"70","OM,CB",NA,"smw","sout","mar"
"253","14/02/2017","16:06","Sciurus sp.","Squirrel (sp)","Overcast","2",1,"20","FM,GH",NA,"smw","sout","feb"
"254","11/01/2017","16:30","Sciurus sp.","Squirrel (sp)","Dry","2",1,"20",NA,NA,"smw","sout","jan"
"255","14/01/2017","09:50","Sciurus sp.","Squirrel (sp)","Dry","2",1,"85",NA,NA,"smw","sout","jan"
"256","09/04/2017","2pm","Sciurus sp.","Squirrel (sp)","Sunny",NA,9,"3m","Ollie  ",NA,"rum","rum.","apr"
"257","27/03/2017","13:00","Sciurus sp.","Squirrel (sp)","Sunny","1",2,"2","Charlotte",NA,"rum","read","mar"
"258","22/01/2017","1:06pm","Sciurus sp.","Squirrel (sp)","Sunny","T3",1,"10",NA,NA,"tma","hart","jan"
"259","04/06/2017","4pm","Sciurus sp.","Squirrel (sp)","Sunny","1",8,"2m","Ollie",NA,"rum","rum.","jun"
"260","17/01/2017","16:42","Sciurus sp.","Squirrel (sp)","Dry","2",1,"80",NA,NA,"smw","sout","jan"
"261","03/01/2017","09:28","Sciurus sp.","Squirrel (sp)","Overcast","4",4,"0","OM,CB,JM,FM",NA,"smw","sout","mar"
"262","23/01/2017","09:15","Sciurus sp.","Squirrel (sp)","Foggy","2",2,"0",NA,NA,"smw","sout","jan"
"263","11/01/2017","16:27","Sciurus sp.","Squirrel (sp)","Dry","2",1,"10",NA,NA,"smw","sout","jan"
"264","25/01/2017","09:06","Sciurus sp.","Squirrel (sp)","Overcast/Foggy","2",1,"100",NA,NA,"smw","sout","jan"
"265","03/12/2017","17:34","Sciurus sp.","Squirrel (sp)","Overcast","2",1,"65","OM,CB",NA,"smw","sout","mar"
"266","11/03/2017","17:00","Sciurus sp.","Squirrel (sp)","cloudy ","4",4,"5","Ollie",NA,"rum","read","mar"
"267","03/03/2017","14:00","Sciurus sp.","Squirrel (sp)","Sunny","6",2,"15","Sean",NA,"rum","read","mar"
"268","15/01/2017","8:15am","Sciurus sp.","Squirrel (sp)","Cloudy","T1",1,"15",NA,NA,"tma","hart","jan"
"269","17/01/2017","16:39","Sciurus sp.","Squirrel (sp)","Dry","2",1,"50",NA,NA,"smw","sout","jan"
"270","10/01/2017","11:02:00am","Sciurus sp.","Squirrel (sp)","Sunny","T1",1,"10",NA,NA,"tma","hart","jan"
"271","22/01/2017","1:00pm","Sciurus sp.","Squirrel (sp)","Sunny","T3",2,"30",NA,NA,"tma","hart","jan"
"272","15/01/2017","8:21am","Sciurus sp.","Squirrel (sp)","Cloudy","T1",1,"25",NA,NA,"tma","hart","jan"
