"","Date","Time","latin","Species","Weather","Transect","Count","Distance","Observer","Any.other.comments","team","loc","month"
"84","24/01/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 4",3,"3",NA,NA,"suc","swan","jan"
"85","24/01/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 4",4,"4",NA,NA,"suc","swan","jan"
"86","19/03/2017","10:24","Sciurus carolinensis","Grey squirrel","Cloudy","4",1,"75","Leah",NA,"uog","glou","mar"
"87","05/03/2017","11:20","Sciurus carolinensis","Grey squirrel","Light rain",NA,1,NA,"Tom",NA,"uog","glou","may"
"88","05/03/2017","11:10","Sciurus carolinensis","Grey squirrel","Light rain",NA,1,NA,"Isaac",NA,"uog","glou","may"
"89","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny",NA,1,"4m","Hannah Cole",NA,"suc","swan","apr"
"90","20/01/2017","15:31","Sciurus carolinensis","Grey squirrel","Sunny","T1",2,"8",NA,NA,"tbt","lanc","jan"
"91","24/01/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 3",1,"5",NA,NA,"suc","swan","jan"
"92","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny","1",3,"1","Samantha Purton",NA,"suc","swan","mar"
"93","01/02/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 1",1,"4","Hannah Cole",NA,"suc","swan","feb"
"94","24/01/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 1",2,"2",NA,NA,"suc","swan","jan"
"95","20/02/2017","11:13","Sciurus carolinensis","Grey squirrel","Overcast","T1",1,"20","Tay",NA,"tbt","lanc","feb"
"96","05/03/2017","11:10","Sciurus carolinensis","Grey squirrel","Light rain","6",1,"50","Isaac",NA,"uog","glou","mar"
"97","14/03/2017","17:03","Sciurus carolinensis","Grey squirrel","Clear","3",1,"10","Lydia Rowland",NA,"bba","bris","mar"
"98","03/07/2017","10:37","Sciurus carolinensis","Grey squirrel","Partly cloudy","2",4,"40","Emily and Yuma",NA,"tsu","surr","mar"
"99","20/01/2017","15:31","Sciurus carolinensis","Grey squirrel","Sunny","T1",1,"5",NA,NA,"tbt","lanc","jan"
"100","26/05/17","06:15","Sciurus carolinensis","Grey squirrel","Sunny","T1",3,"25m","Tay",NA,"tbt","lanc","may"
"101","30/01/2017","12:02","Sciurus carolinensis","Grey squirrel","Overcast, cold","1",1,"10",NA,NA,"kpl","kent","jan"
"102","20/02/2017","11:40","Sciurus carolinensis","Grey squirrel","Cloudy, mild","6",2,"20","Tom",NA,"uog","glou","feb"
"103","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny","1",1,"4m","Hannah Cole",NA,"suc","swan","jun"
"104","14/03/2017","17:29","Sciurus carolinensis","Grey squirrel","Clear","5",2,"15","Celine Clark",NA,"bba","bris","mar"
"105","24/01/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 3",1,"6",NA,NA,"suc","swan","jan"
"106","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny","1",1,"4","Hannah Cole",NA,"suc","swan","mar"
