"","Date","Time","latin","Species","Weather","Trap.number","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Supervisor","Any.other.comments","team","loc","month"
"44","10-Jan","09:30","Microtus agrestis","Field vole","Cloudy, light rain","40","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"45","17/02/2017","08:02","Microtus agrestis","Field vole","Partly cloudy","5","SU 98399 50112","Human site","Suburban","Residential, Near road, Recreational area","Dixie","Zoe",NA,"tsu","surr","feb"
"46","16/05/2017","15:15","Microtus agrestis","Field vole","Overcast/warm","T3","SK 69424 52494","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell","male","mdb","nott","may"
"47","10-Jan","09:25","Microtus agrestis","Field vole","Cloudy, light rain","38","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"48","21/05/2017","09:26","Microtus agrestis","Field vole","Clear, sunny","T3","SK 69424 52494","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell",NA,"mdb","nott","may"
"49","10-Jan","08:47","Microtus agrestis","Field vole","Cloudy, light rain","29","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"50","16/05/2017","09:30","Microtus agrestis","Field vole","Overcast/warm","T3","SK 69424 52494","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell","male","mdb","nott","may"
"51","09-Jan","08:50","Microtus agrestis","Field vole","Cold, clear","27","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"52","22-Feb","08:58","Sorex minutus","Pygmy shrew","Cold, rainy","14","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"53","01-Feb","08:33","Sorex minutus","Pygmy shrew","Cold, clear","23","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"54","01-Feb","07:36","Sorex minutus","Pygmy shrew","Cold, clear","2","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"55","31-Jan","08:58","Sorex minutus","Pygmy shrew","Overcast, dry","32","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"56","09-Jan","08:33","Sorex minutus","Pygmy shrew","Cold, clear","22","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"57","09-Jan","07:53","Sorex minutus","Pygmy shrew","Cold, clear","12","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"58","09-Jan","08:12","Sorex minutus","Pygmy shrew","Cold, clear","16","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"59","01-Feb","08:41","Apodemus sylvaticus","Wood mouse","Cold, clear","27","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"60","01-Feb","08:55","Apodemus sylvaticus","Wood mouse","Cold, clear","33","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"61","01-Feb","08:58","Apodemus sylvaticus","Wood mouse","Cold, clear","34","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"62","01-Feb","09:10","Apodemus sylvaticus","Wood mouse","Cold, clear","38","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; natural marking","nbm","east","feb"
"63","21-Feb","09:27","Apodemus sylvaticus","Wood mouse","Mild, clear","39","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"64","20-Feb","07:30","Apodemus sylvaticus","Wood mouse","Mild, clear","2","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"65","22-Feb","08:46","Apodemus sylvaticus","Wood mouse","Cold, rainy","8","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"66","22-Feb","08:48","Apodemus sylvaticus","Wood mouse","Cold, rainy","9","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"67","01-Feb","09:15","Apodemus sylvaticus","Wood mouse","Cold, clear","40","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"68","22-Feb","08:52","Apodemus sylvaticus","Wood mouse","Cold, rainy","11","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"69","20-Feb","08:16","Apodemus sylvaticus","Wood mouse","Mild, clear","16","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
