"","Date","Time","Weather","latin","Species","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Any.other.comments","team","loc","month"
"45","21/3/17","09:00","Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SU 98816 50366","Waterbody","Lake","Near railway, low disturbance","Emily",NA,"tsu","surr","mar"
"46","23/01/2017","08:22","Cloudy, Frosty","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98428 50429","Human Site","Suburban","Near Road, Recreational ground","Emily",NA,"tsu","surr","jan"
"47","19/03/2017","12:16","sunny","Phoca vitulina","Harbour seal","1","Alive","57.176109, -2.097363","Waterbody","River","slow/medium running","Jen",NA,"att","aber","mar"
"48","25/03/2017","12:38","sunny","Phoca vitulina","Harbour seal","1","Alive","57.177181, -2.102683","Waterbody","River","slow/medium running","Rebecca ",NA,"att","aber","mar"
"49","24/02/2017","12:43","sunny","Phoca vitulina","Harbour seal","1","Alive","57.177199, -2.105908","Waterbody","river","slow running","Rebecca ",NA,"att","aber","feb"
"50","27.01.17","4.43pm ","7 degrees celsius. Slight cloud cover.","Mus musculus","House mouse","1","Dead","TQ6276249662","Waterbodies","Pond","Undisturbed ","Paige, Ellie & Sherece","Field Signs around this area- Rabbit faeces, confirmed by Pam Worrall.","hot","hadl","jan"
"51","28/01/2017","15:00","Rain","Talpa europaea","Mole","1",NA,"NS 38046 95841","Human Site ","Rural","Recreational Area ","RT","Field Sign","gun","glas","jan"
"52","28/02/2017","15:25","Sunny","Talpa europaea","Mole","1",NA,"NS 38046 95841","Human Site ","Rural","Recreational Area ","RT","Field Sign","gun","glas","feb"
"53","20-Jan","14:08","Sunny, cold","Mus musculus","House mouse","1","Alive","NJ 93717 08705","Human site","Urban","Gardens","Kevin",NA,"fff","aber","jan"
"54","15/01/2017","3pm","Overcast","Murinae sp.","Mouse (sp)","1","Dead","SU 73532 72257","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Caught by cat","rum","rum.","jun"
"55","15/01/2017","3pm","Overcast","Murinae sp.","Mouse (sp)","1","Dead","SU 73532 72257","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Caught by cat","rum","rum.","apr"
"56","15/01/2017","3pm","Overcast","Murinae sp.","Mouse (sp)","1","Dead","SU 73532 72257","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Caught by cat","rum","read","feb"
"57","15/01/2017","3pm","Overcast","Murinae sp.","Mouse (sp)","1","Dead","SU 73532 72257","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Caught by cat","rum","read","jan"
"58","15/01/2017","3pm","Overcast","Murinae sp.","Mouse (sp)","1","Dead","SU 73532 72257","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Caught by cat","rum","rum.","may"
"59","15/01/2017","3pm","Overcast","Murinae sp.","Mouse (sp)","1","Dead","SU 73532 72257","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Sean, Ollie","Caught by cat","rum","read","mar"
"60","07/02/2017","12:46","heavy rain","Lutra lutra","Otter","1","Alive","57.174719, -2.105457","Waterbody","River","Fast flowing","Cristin",NA,"att","aber","feb"
