"","Date","Survey.method","ID","Station","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","team","loc","month"
"162","01/02/2017","Camera trap","Camera 4","1","SK 6983 5127","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, plantation","brb","nott","feb"
"163","01/02/2017","Camera trap","Camera 5","1","SK 7003 5138","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, semi-natural","brb","nott","feb"
"167","01/02/2017","Camera trap","Camera 9","1","SK 7001 5218","Open land","Farmland","Hedgerow with trees, high/medium disturbance, pasture","brb","nott","feb"
"168","01/02/2017","Line transect","T1","1","SK 6999 5136","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, semi-natural","brb","nott","feb"
"169","01/02/2017","Line transect","T2","1","SK 6985 5187","Open land","Farmland","Crops, hedgerow with trees, low disturbance","brb","nott","feb"
"170","01/02/2017","Line transect","T3","1","SK 6967 5153","Open land","Farmland","Crops, hedgerow with trees, low disturbance","brb","nott","feb"
"171","01/02/2017","Line transect","T4","1","SK 7038 5149","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, semi-natural","brb","nott","feb"
"172","01/02/2017","Line transect","T5","1","SK 6991 5200","Open land","Farmland","Other field boundary, high/medium disturbance, pasture","brb","nott","feb"
"261","01/02/2017","Line Transect","T1","1","SS 62799 92170","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","feb"
"262","01/02/2017","Line Transect","T1","1","SS 62815 92199","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","feb"
"264","01/02/2017","Line Transect","T2","2","SS 62734 91756","Human Site","Rural","Near road (50m), Disused","suc","swan","feb"
"263","01/02/2017","Line Transect","T2","2","SS 62755 91747","Human Site","Rural","Near road (50m), Disused","suc","swan","feb"
"266","01/02/2017","Line Transect","T3","3","SS 62756 91563","Waterbodies","Pond","Near road (50m), Low banks, Flat","suc","swan","feb"
"265","01/02/2017","Line Transect","T3","3","SS 62776 91580","Waterbodies","Pond","Near road (50m), Low banks, Flat","suc","swan","feb"
"267","01/02/2017","Line Transect","T4","4","SS 62925 91682","Woodland ","Mixed","Sparse shrub layer, Near road (50m), Semi-natural","suc","swan","feb"
"268","01/02/2017","Line Transect","T4","4","SS 62943 91684","Woodland ","Mixed","Sparse shrub layer, Near road (50m), Semi-natural","suc","swan","feb"
"270","01/02/2017","Line Transect","T5","5","SS 62837 92123","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","feb"
"269","01/02/2017","Line Transect","T5","5","SS 62857 92135","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","feb"
"43","04/02/2017","Line transect","T5","1","SU 73881 71849","Open land","Meadow","High/medium disturbance from people","rum","rum.","apr"
"44","05/02/2017","Line transect","T6","1","SU 73902 71614","Open land, waterbodies","Lake, meadow","Banks vegetated, low disturbance","rum","rum.","apr"
"45","06/02/2017","Line transect","T6","2","SU 73902 71615","Woodland","Mixed","Moderate field layer","rum","rum.","apr"
"46","07/02/2017","Line transect","T7","1","SU 73796 71327","Open land","Meadow","Municipal park, Gardens, Near road (50m)","rum","rum.","apr"
"173","08/02/2017","Line transect","T1","1","51.508973, -3.187618","Woodland","Broadleaved","Moderate shrub layer, semi-natural, near road ","cwi","card","feb"
"179","08/02/2017","Line transect","T1","2","TQ 63094 49684","Waterbodies","River","Banks vegetated, high/medium banks, slow/medium running, undisturbed, near road (50m)","hba","hadl","feb"
"181","08/02/2017","Line transect","T2","1","TQ 62577 49661","Open Land","Farmland","Grazed (Sheep), pasture, Hedgerow with Trees, Low disturbance","hba","hadl","feb"
"182","08/02/2017","Line transect","T3","1","TQ 62736 49669","Human Site","Rural","Gardens","hba","hadl","feb"
"183","08/02/2017","Line transect","T4","1","TQ 62472 50025","Open land","Farmland","Grazed (Horses), pasture, Hedgerow with trees, high/medium disturbance from people","hba","hadl","feb"
"184","08/02/2017","Line transect","T5","2","TQ 62924 49645","Waterbodies","Ditch","Banks vegetated, high/medium banks, slow/medium running, disturbed, near road (50m)","hba","hadl","feb"
"47","08/02/2017","Line transect","T8","1","SU 74241 71659","Woodland","Mixed","Moderate shrub layer","rum","rum.","apr"
"255","08/02/2017","Opportunistic","O1","1","SS 62846 91613","Waterbodies","Pond","Near road (50m), Low banks, Flat","suc","swan","feb"
"256","08/02/2017","Opportunistic","O2","2","SS 62943 91725","Woodland ","Mixed","Sparse shrub layer, Near road (50m), Semi-natural","suc","swan","feb"
"48","09/02/2017","Line transect","T9","1","SU 74107 72071","Human site","Urban","Garden","rum","rum.","apr"
"257","09/02/2017","Opportunistic","O3","3","SS 62877 92096","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","feb"
"190","09/02/2017","Camera Trap","Camera 2",NA,"SO 78500 22906","Woodland","Broadleaved ","Sparse shrub layer, Near road (50m)","hhe","hart","feb"
"49","10/02/2017","Line transect","T10","1","SU 73855 72159","Woodland","Mixed","Sparse field layer","rum","rum.","apr"
"50","10/02/2017","Line transect","T10","2","SU 73855 72160","Open land","Meadow","Low disturbance","rum","rum.","apr"
"51","10/02/2017","Line transect","T10","3","SU 73855 72161","Waterbodies","Lake","Banks clear","rum","rum.","apr"
"57","02/04/2017","Opportunistic","O3","1","SS 63108 92205","Woodland","Broadleaved","moderate shrub layer, moderate field layer","suc","swan","apr"
"54","07/04/2017","Standard walk","SW","1","SS 63050 92193","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","apr"
"53","07/04/2017","Standard walk","SW","1","SS 63128 92257","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","apr"
"52","07/04/2017","Standard walk","SW","1","SS 63154 92329","Woodland","Broadleaved","Moderate Shrub layer, dense field layer","suc","swan","apr"
"56","13/04/2017","Opportunistic","O2","1","SS 62998 92139","Woodland","Broadleaved","moderate shrub layer, moderate field layer","suc","swan","apr"
"55","15/04/2017","Opportunistic","O1","1","SS 63062 92305","Woodland","Broadleaved","Sparse shrub layer, moderate field layer","suc","swan","apr"
"58","27/04/2017","Opportunistic","O4","1","SS 62820 91607","Woodland","Broadleaved","Near Road, Park land, Semi natural","suc","swan","apr"
"60","29/04/2017","Standard walk","SW","2","SS 63225 92179","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","apr"
"61","29/04/2017","Standard walk","SW","2","SS 63250 92169","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","apr"
"59","30/04/2017","Opportunistic","O5","1","SS 63022 91750","Woodland","Broadleaved","Near Road, Park land","suc","swan","apr"
"62","15/12/2016","Line transect","T1","1","SD 48505 57825","Woodland","Mixed","Dense shrub layer, Sparse field layer","tbt","lanc","apr"
"63","15/12/2016","Line transect","T2","2","SD 490898 57188","Woodland","Broadleaved","Moderate shrub layer, dense field layer","tbt","lanc","apr"
"64","15/12/2016","Line transect","T3","3","SD 48967 57379","Woodland","Broadleaved","sparse shrub layer, dense field layer","tbt","lanc","apr"
"65","15/12/2016","Line transect","T4","4","SD 48333 57287","Woodland","Open land","Other field boundary (woodland to field margin)","tbt","lanc","apr"
"66","15/12/2016","Line transect","T5","1","SD 49055 57362","Open land","Farmland","Active farmland, Grazed","tbt","lanc","apr"
"67","27/01/2017","Line transect","T1","1","SU 87109 57085","Woodland; human site","Mixed; urban","Moderate shrub layer, moderate field layer; residential","tns","farn","apr"
"70","03/01/2017","Line Transect","T1","1","SU 98786 50387","Human site","Suburban","Near road, recreational ground","tsu","surr","apr"
"71","03/01/2017","Line Transect","T1","2","SU 98766 50364","Human site","Suburban","Near road, recreational ground","tsu","surr","apr"
"72","03/01/2017","Line Transect","T1","3","SU 98741 50338","Human site","Suburban","Near road, recreational ground","tsu","surr","apr"
"73","03/01/2017","Line Transect","T1","4","SU 98720 50314","Waterbody","Pond","Near road, Vegetated banks, Disturbed","tsu","surr","apr"
"74","03/01/2017","Line Transect","T2","1","SU 98942 50230","Human site","Suburban","Near road, near railway, Recreational","tsu","surr","apr"
"75","03/01/2017","Line Transect","T2","2","SU 98928 50256","Human site","Suburban","Near road, near railway, Recreational","tsu","surr","apr"
"76","03/01/2017","Line Transect","T2","3","SU 98914 50281","Human site","Suburban","Near road, near railway, Recreational","tsu","surr","apr"
"77","03/01/2017","Line Transect","T2","4","SU 98900 50306","Waterbody","Lake","Vegetated borders, low banks, near railway","tsu","surr","apr"
"78","03/01/2017","Line Transect","T2","5","SU 98886 50331","Waterbody","Lake","Vegetated borders, low banks, near railway","tsu","surr","apr"
"79","03/01/2017","Line Transect","T2","6","SU 98873 50355","Waterbody","Lake","Vegetated borders, low banks, near railway","tsu","surr","apr"
"80","03/01/2017","Line Transect","T2","7","SU 98858 50383","Waterbody","Lake","Vegetated borders, low banks, near railway","tsu","surr","apr"
"81","03/01/2017","Line Transect","T2","8","SU 98845 50406","Waterbody","Lake","Vegetated borders, low banks, near railway","tsu","surr","apr"
"82","03/01/2017","Line Transect","T3","1","SU 98763 49999","Human site","Suburban","Residential, Near road, Recreational area","tsu","surr","apr"
"83","03/01/2017","Line Transect","T3","2","SU 98745 50030","Human site","Suburban","Residential, Near road, Recreational area","tsu","surr","apr"
"84","03/01/2017","Line Transect","T3","3","SU 98728 50061","Human site","Suburban","Residential, Near road, Recreational area","tsu","surr","apr"
"85","03/01/2017","Line Transect","T3","4","SU 98713 50087","Human site","Suburban","Residential, Near road, Recreational area","tsu","surr","apr"
"86","03/01/2017","Line Transect","T4","1","SU 98271 50120","Open land","Suburban","Hedgerows with trees, high disturbance, near road","tsu","surr","apr"
"87","03/01/2017","Line Transect","T4","2","SU 98203 50122","Open land","Suburban","Hedgerows with trees, high disturbance, near road","tsu","surr","apr"
"88","03/01/2017","Line Transect","T4","3","SU 98239 50121","Open land","Suburban","Hedgerows with trees, medium disturbance","tsu","surr","apr"
"89","03/01/2017","Line Transect","T4","4","SU 98170 50123","Open land","Suburban","Hedgerows with trees, medium disturbance","tsu","surr","apr"
"90","03/01/2017","Live Trapping","TL1","1","SU 98088 50226","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"99","03/01/2017","Live Trapping","TL1","10","SU 98104 50316","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"100","03/01/2017","Live Trapping","TL1","11","SU 98106 50326","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"101","03/01/2017","Live Trapping","TL1","12","SU 98108 50338","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"102","03/01/2017","Live Trapping","TL1","13","SU 98112 50343","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"103","03/01/2017","Live Trapping","TL1","14","SU 98120 50348","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"104","03/01/2017","Live Trapping","TL1","15","SU 98128 50352","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"105","03/01/2017","Live Trapping","TL1","16","SU 98137 50357","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"106","03/01/2017","Live Trapping","TL1","17","SU 98147 50362","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"91","03/01/2017","Live Trapping","TL1","2","SU 98091 50238","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"92","03/01/2017","Live Trapping","TL1","3","SU 98093 50249","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"93","03/01/2017","Live Trapping","TL1","4","SU 98095 50261","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"94","03/01/2017","Live Trapping","TL1","5","SU 98096 50268","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"95","03/01/2017","Live Trapping","TL1","6","SU 98098 50278","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"96","03/01/2017","Live Trapping","TL1","7","SU 98099 50287","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"97","03/01/2017","Live Trapping","TL1","8","SU 98101 50295","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"98","03/01/2017","Live Trapping","TL1","9","SU 98102 50303","Human site","Suburban","Near road, residential, near railway","tsu","surr","apr"
"107","03/01/2017","Live Trapping","TL2","1","SU 98950 50237","Human site","Suburban","Near road, near railway, residential","tsu","surr","apr"
"116","03/01/2017","Live Trapping","TL2","10","SU 98910 50323","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
"117","03/01/2017","Live Trapping","TL2","11","SU 98906 50332","Waterbody","Lake","Near railway, hedgerow with trees","tsu","surr","apr"
