"","Date","Species","latin","Time","Weather","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Method","Any.other.comments","team","loc","month"
"72","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:37",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"73","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:53",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"74","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:48",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"75","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:33",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"76","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:43",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"77","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:02",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"78","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:02",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"79","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:02",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"80","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:44",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"81","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:44",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"82","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:18",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"83","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:07",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"84","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:17",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"85","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:48",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"86","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:03",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"87","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:42",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"88","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:04",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"89","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:55",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"90","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:22",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"91","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:55",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"92","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:32",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"93","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:32",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"94","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:05",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"95","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:33",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"96","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:57",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"97","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:40",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"98","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:03",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"99","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:40",NA,2,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
